idx,name,ident,format,vendor,is_instrument,primary_category,categories,primary_category_v6,categories_v6
444,VST: GrooveWear (airwindows),C:\Program Files\Common Files\VST2\Airwindows\GrooveWear64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
445,VST3: GSatPlus (TBProAudio),C:\Program Files\Common Files\VST3\TBProAudio\GSatPlus.vst3,VST3,TBProAudio,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
446,VST: GuitarConditioner (airwindows),C:\Program Files\Common Files\VST2\Airwindows\GuitarConditioner64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
447,VST: Hadron (partikkelaudio),C:\Program Files\VSTPlugins\Hadron\hadron64.dll,VST,partikkelaudio,False,Instruments,Glitch/Granular/Spectral; Instruments,Instruments,Glitch/Granular/Spectral; Instruments
448,VST: Hadron (x86) (partikkelaudio),C:\Program Files (x86)\Vstplugins\Hadron\hadron32.dll,VST,partikkelaudio,False,Instruments,Glitch/Granular/Spectral; Instruments,Instruments,Glitch/Granular/Spectral; Instruments
449,VST3i: HALion Sonic (Steinberg Media Technologies) (32 out),C:\Program Files\Common Files\VST3\Steinberg\HALion Sonic.vst3\Contents\x86_64-win\HALion Sonic.vst3,VST3I,Steinberg Media Technologies,True,Instruments,Instruments,Instruments,Instruments
450,VST: HardVacuum (airwindows),C:\Program Files\Common Files\VST2\Airwindows\HardVacuum64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
451,VST: HarmonicAdder v1.5 (AnarchySoundSoftware),C:\Program Files (x86)\VST PlugIns\Harmonic Adder.dll,VST,AnarchySoundSoftware,False,Other/Unknown,Other/Unknown,Pitch/Time,Pitch/Time
452,VSTi: Harsh Digital Nose (Insert Piz Here),C:\Program Files\Common Files\VST2\Harsh Digital Nose.dll,VSTI,Insert Piz Here,True,Instruments,Instruments,Instruments,Instruments
453,VSTi: Helm (Matt Tytel),C:\Program Files\Steinberg\VSTPlugins\helm64.dll,VSTI,Matt Tytel,True,Instruments,Instruments,Instruments,Instruments
454,VST3i: Helm (Matt Tytel) (mono),C:\Program Files\Common Files\VST3\Helm\helm.vst3,VST3I,Matt Tytel,True,Instruments,Instruments,Instruments,Instruments
455,VSTi: Helm (x86) (Matt Tytel),C:\Program Files\Steinberg\VSTPlugins\helm.dll,VSTI,Matt Tytel,True,Instruments,Instruments,Instruments,Instruments
456,VST: Hematohm (Ohm Force),C:\Program Files\VSTPlugins\Hematohm_vstwin_x64.dll,VST,Ohm Force,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
457,VST: Hermepass (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Hermepass64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
458,VST: HermeTrim (airwindows),C:\Program Files\Common Files\VST2\Airwindows\HermeTrim64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
459,VST: HighGlossDither (airwindows),C:\Program Files\Common Files\VST2\Airwindows\HighGlossDither64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Dither/NoiseShaping,Dither/NoiseShaping
460,VST: HighImpact (airwindows),C:\Program Files\Common Files\VST2\Airwindows\HighImpact64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
461,VST: Highpass (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Highpass64.dll,VST,airwindows,False,EQ/Filter,EQ/Filter,EQ/Filter,EQ/Filter
462,VST: Highpass2 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Highpass264.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,EQ/Filter,EQ/Filter
463,VST: Holt (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Holt64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
464,VST: Holt2 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Holt264.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
465,VST: Hombre (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Hombre64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
466,VST3: HoRNetMagnusLite (HoRNet),C:\Program Files\Common Files\VST3\HoRNetMagnusLite_x64.vst3,VST3,HoRNet,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
